ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE25,2015,23.3343,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE15,2016,25.4081,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-64,2016,25.7653,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-24,2016,54.3127,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE25,2016,22.0412,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE15,2017,20.5272,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-64,2017,21.0912,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-24,2017,45.8116,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE25,2017,17.4918,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE15,2018,18.4002,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-64,2018,18.8758,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-24,2018,38.8221,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE25,2018,15.8995,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE15,2019,15.6921,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-64,2019,16.398,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_Y15-24,2019,33.7918,,,,R1:3513
BIH,SDG_0852_SEX_AGE_RT,BA:493,SEX_T,AGE_YTHADULT_YGE25,2019,13.5237,,,,R1:3513
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE15,2016,5.84,,C6:2320,,S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-64,2016,5.88,,,,S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-24,2016,10.72,,,,S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE25,2016,5.32,,C6:2320,,S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE15,2017,5.65,,C6:2320,,S14:4077_S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-64,2017,5.63,,,,S14:4077_S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-24,2017,9.32,,,,S14:4077_S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE25,2017,5.25,,C6:2320,,S14:4077_S5:3210_S7:57_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE15,2018,4.76,,C6:2320,,S14:4077_S5:3210_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-64,2018,4.77,,,,S14:4077_S5:3210_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_Y15-24,2018,10.65,,,,S14:4077_S5:3210_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE25,2018,4.21,,C6:2320,,S14:4077_S5:3210_T3:104
BLR,SDG_0852_SEX_AGE_RT,BA:13362,SEX_T,AGE_YTHADULT_YGE15,2019,4.16,,C6:2320,,S14:4077_S5:3210_T3:104
